Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,49.20800% to 50.147200%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
3.54512e-03,1.68,1.72
3.54520e-03,1.68,1.68
3.54528e-03,1.68,1.72
3.54536e-03,1.68,1.64
3.54544e-03,1.64,1.76
3.54552e-03,1.68,1.64
3.54560e-03,1.64,1.72
3.54568e-03,1.64,1.6
3.54576e-03,1.64,1.68
3.54584e-03,1.64,1.6
3.54592e-03,1.68,1.68
3.54600e-03,1.64,1.6
3.54608e-03,1.64,1.68
3.54616e-03,1.64,1.6
3.54624e-03,1.68,1.68
3.54632e-03,1.68,1.6
3.54640e-03,1.64,1.68
3.54648e-03,1.64,1.6
3.54656e-03,1.68,1.68
3.54664e-03,1.72,1.6
3.54672e-03,1.68,1.68
3.54680e-03,1.68,1.64
3.54688e-03,1.68,1.72
3.54696e-03,1.72,1.68
3.54704e-03,1.68,1.72
3.54712e-03,1.72,1.68
3.54720e-03,1.68,1.72
3.54728e-03,1.68,1.68
3.54736e-03,1.68,1.72
3.54744e-03,1.64,1.64
3.54752e-03,1.64,1.72
3.54760e-03,1.64,1.6
3.54768e-03,1.68,1.68
3.54776e-03,1.6,1.6
3.54784e-03,1.64,1.68
3.54792e-03,1.64,1.6
3.54800e-03,1.64,1.68
3.54808e-03,1.64,1.6
3.54816e-03,1.68,1.68
3.54824e-03,1.64,1.6
3.54832e-03,1.64,1.68
3.54840e-03,1.64,1.6
3.54848e-03,1.68,1.68
3.54856e-03,1.72,1.6
3.54864e-03,1.72,1.68
3.54872e-03,1.68,1.64
3.54880e-03,1.72,1.72
3.54888e-03,1.72,1.68
3.54896e-03,1.72,1.76
3.54904e-03,1.68,1.68
3.54912e-03,1.68,1.76
3.54920e-03,1.68,1.68
3.54928e-03,1.64,1.72
